names,timestamp,id_can,prioridade,dado
VENTOR_LINEAR_ACC_X,1771300998.8079727,0x001,3,4889500.00 Linear acceleration in x
VENTOR_ANGULAR_SPEED_X,1771300998.8079727,0x001,3,0.00 Angular speed in x
VENTOR_LINEAR_ACC_Y,1771300998.8079727,0x001,3,5631900.00 Linear acceleration in y
VENTOR_ANGULAR_SPEED_Y,1771300998.8079727,0x001,3,0.00 Angular speed in y
VENTOR_LINEAR_ACC_Z,1771300998.8080215,0x002,4,5401900.00 Linear acceleration in z
VENTOR_ANGULAR_SPEED_Z,1771300998.8080215,0x002,4,0.00 Angular speed in z
VENTOR_LINEAR_SPEED_X,1771300998.8080215,0x002,4,5325500.00 Linear speed in x
VENTOR_LINEAR_SPEED_Y,1771300998.8080215,0x002,4,2150400.00 Linear speed in y
VENTOR_LINEAR_ACC_X,1771300998.818054,0x001,3,4889500.00 Linear acceleration in x
VENTOR_ANGULAR_SPEED_X,1771300998.818054,0x001,3,0.00 Angular speed in x
VENTOR_LINEAR_ACC_Y,1771300998.818054,0x001,3,5631900.00 Linear acceleration in y
VENTOR_ANGULAR_SPEED_Y,1771300998.818054,0x001,3,0.00 Angular speed in y
VENTOR_LINEAR_ACC_Z,1771300998.8181226,0x002,4,5401900.00 Linear acceleration in z
VENTOR_ANGULAR_SPEED_Z,1771300998.8181226,0x002,4,0.00 Angular speed in z
VENTOR_LINEAR_SPEED_X,1771300998.8181226,0x002,4,5325500.00 Linear speed in x
VENTOR_LINEAR_SPEED_Y,1771300998.8181226,0x002,4,2150400.00 Linear speed in y
VENTOR_LINEAR_ACC_X,1771300998.8281622,0x001,3,4889500.00 Linear acceleration in x
VENTOR_ANGULAR_SPEED_X,1771300998.8281622,0x001,3,0.00 Angular speed in x
VENTOR_LINEAR_ACC_Y,1771300998.8281622,0x001,3,5631900.00 Linear acceleration in y
VENTOR_ANGULAR_SPEED_Y,1771300998.8281622,0x001,3,0.00 Angular speed in y
VENTOR_LINEAR_ACC_Z,1771300998.828214,0x002,4,5401900.00 Linear acceleration in z
VENTOR_ANGULAR_SPEED_Z,1771300998.828214,0x002,4,0.00 Angular speed in z
VENTOR_LINEAR_SPEED_X,1771300998.828214,0x002,4,5325500.00 Linear speed in x
VENTOR_LINEAR_SPEED_Y,1771300998.828214,0x002,4,2150400.00 Linear speed in y
VENTOR_LINEAR_ACC_X,1771300998.8382483,0x001,3,4889500.00 Linear acceleration in x
VENTOR_ANGULAR_SPEED_X,1771300998.8382483,0x001,3,0.00 Angular speed in x
VENTOR_LINEAR_ACC_Y,1771300998.8382483,0x001,3,5631900.00 Linear acceleration in y
VENTOR_ANGULAR_SPEED_Y,1771300998.8382483,0x001,3,0.00 Angular speed in y
VENTOR_LINEAR_ACC_Z,1771300998.8383234,0x002,4,5401900.00 Linear acceleration in z
VENTOR_ANGULAR_SPEED_Z,1771300998.8383234,0x002,4,0.00 Angular speed in z
VENTOR_LINEAR_SPEED_X,1771300998.8383234,0x002,4,5325500.00 Linear speed in x
VENTOR_LINEAR_SPEED_Y,1771300998.8383234,0x002,4,2176000.00 Linear speed in y
VENTOR_LINEAR_ACC_X,1771300998.8483186,0x001,3,4889500.00 Linear acceleration in x
VENTOR_ANGULAR_SPEED_X,1771300998.8483186,0x001,3,0.00 Angular speed in x
VENTOR_LINEAR_ACC_Y,1771300998.8483186,0x001,3,5631900.00 Linear acceleration in y
VENTOR_ANGULAR_SPEED_Y,1771300998.8483186,0x001,3,0.00 Angular speed in y
VENTOR_LINEAR_ACC_Z,1771300998.8483675,0x002,4,5401900.00 Linear acceleration in z
VENTOR_ANGULAR_SPEED_Z,1771300998.8483675,0x002,4,0.00 Angular speed in z
VENTOR_LINEAR_SPEED_X,1771300998.8483675,0x002,4,5325500.00 Linear speed in x
VENTOR_LINEAR_SPEED_Y,1771300998.8483675,0x002,4,2176000.00 Linear speed in y
VENTOR_LINEAR_ACC_X,1771300998.858413,0x001,3,4889500.00 Linear acceleration in x
VENTOR_ANGULAR_SPEED_X,1771300998.858413,0x001,3,0.00 Angular speed in x
VENTOR_LINEAR_ACC_Y,1771300998.858413,0x001,3,5631900.00 Linear acceleration in y
VENTOR_ANGULAR_SPEED_Y,1771300998.858413,0x001,3,0.00 Angular speed in y
VENTOR_LINEAR_ACC_Z,1771300998.8584678,0x002,4,5401900.00 Linear acceleration in z
VENTOR_ANGULAR_SPEED_Z,1771300998.8584678,0x002,4,0.00 Angular speed in z
VENTOR_LINEAR_SPEED_X,1771300998.8584678,0x002,4,5325500.00 Linear speed in x
