names,timestamp,id_can,prioridade,dado
VENTOR_LINEAR_ACC_X,1771303339.3989646,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.3989646,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.3989646,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.3989646,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.3990147,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.3990147,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.3990147,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.3990147,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.4090772,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.4090772,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.4090772,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.4090772,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.409127,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.409127,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.409127,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.409127,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.419184,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.419184,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.419184,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.419184,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4192283,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4192283,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4192283,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4192283,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.4293146,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.4293146,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.4293146,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.4293146,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4293633,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4293633,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4293633,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4293633,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.4393764,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.4393764,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.4393764,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.4393764,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4394567,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4394567,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4394567,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4394567,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.449501,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.449501,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.449501,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.449501,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4495564,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4495564,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4495564,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4495564,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.45959,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.45959,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.45959,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.45959,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4596372,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4596372,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4596372,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4596372,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.4696918,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.4696918,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.4696918,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.4696918,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4697418,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4697418,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4697418,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4697418,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.4797883,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.4797883,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.4797883,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.4797883,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4798355,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4798355,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4798355,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4798355,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.4898872,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.4898872,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.4898872,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.4898872,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.4899337,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.4899337,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.4899337,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.4899337,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.4999833,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.4999833,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.4999833,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.4999833,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.5000317,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.5000317,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.5000317,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.5000317,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.510077,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.510077,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.510077,0x001,3,655.00 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.510077,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.5101285,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.5101285,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.5101285,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.5101285,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.5201814,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.5201814,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.5201814,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.5201814,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.5202289,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.5202289,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.5202289,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.5202289,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.5302815,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.5302815,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.5302815,0x001,3,655.00 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.5302815,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.5303285,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.5303285,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.5303285,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.5303285,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.5403855,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.5403855,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.5403855,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.5403855,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.540442,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.540442,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.540442,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.540442,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.5504894,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.5504894,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.5504894,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.5504894,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.5505471,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.5505471,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.5505471,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.5505471,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.561349,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.561349,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.561349,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.561349,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.5614057,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.5614057,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.5614057,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.5614057,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.5714293,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.5714293,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.5714293,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.5714293,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.571477,0x002,4,9.80 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.571477,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.571477,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.571477,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.5815415,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.5815415,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.5815415,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.5815415,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.581589,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.581589,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.581589,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.581589,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.591635,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.591635,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.591635,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.591635,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.591681,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.591681,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.591681,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.591681,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.60173,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.60173,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.60173,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.60173,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.6017764,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.6017764,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.6017764,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.6017764,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.6118083,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.6118083,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.6118083,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.6118083,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.6118572,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.6118572,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.6118572,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.6118572,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.62192,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.62192,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.62192,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.62192,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.6219652,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.6219652,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.6219652,0x002,4,20.00 km/h
VENTOR_LINEAR_SPEED_Y,1771303339.6219652,0x002,4,20.00 km/h
VENTOR_LINEAR_ACC_X,1771303339.631992,0x001,3,654.70 m/s²
VENTOR_ANGULAR_SPEED_X,1771303339.631992,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Y,1771303339.631992,0x001,3,654.99 m/s²
VENTOR_ANGULAR_SPEED_Y,1771303339.631992,0x001,3,0.00 rad/s
VENTOR_LINEAR_ACC_Z,1771303339.6320357,0x002,4,9.79 m/s²
VENTOR_ANGULAR_SPEED_Z,1771303339.6320357,0x002,4,0.00 rad/s
VENTOR_LINEAR_SPEED_X,1771303339.6320357,0x002,4,20.00 km/h
